-14,-96,-68
-64,-134,-98
-17,-163,-137
-22,-202,-204
-87,-221,-333
-117,-133,-369
-162,-24,-72
-131,-77,-59
-99,-81,-449
-289,135,-617
-562,82,-596
-205,-49,-491
-246,-122,-208
-238,100,-138
-201,-157,-347
-232,54,-544
-320,150,-528
-209,-45,-519
-237,-143,-323
-308,32,-212
-254,-122,-322
-224,20,-516
-255,119,-527
-225,-109,-425
-291,-65,-313
-252,-124,-234
-194,-182,-242
-202,-128,-412
-302,78,-450
-333,121,-423
-279,53,-497
-201,-91,-463
-266,-128,-242
-265,-49,-161
-258,-4,-126
-282,-20,-170
-288,8,-188
-301,177,-373
-213,293,-293
-305,177,-315
-224,142,-124
-116,112,-64
-298,126,-252
-239,243,-403
-52,346,-446
-172,294,-472
-316,122,-276
-215,49,-87
-251,37,-131
-281,169,-431
-104,346,-518
-179,315,-491
-281,-53,-387
-158,-198,-246
-89,-191,-131
-108,-164,-86
-83,-173,-101
-17,-197,-143
48,-180,-154
51,-175,-139
-13,-225,-245
12,-204,-162
58,-152,-108
40,-142,-86
15,-199,-153
20,-172,-110
-70,-176,-114
-170,-170,-328
-174,-154,-388
-124,-116,-66
91,-71,-69
70,-80,-64
-243,-125,-205
-183,-29,-497
-289,9,-425
-221,-97,-145
99,-105,-115
-176,-152,-156
-191,3,-501
-203,-5,-491
-194,-152,-208
99,-139,-151
-128,-190,-276
-144,-12,-512
-192,10,-534
-197,-149,-237
116,-78,-102
51,-103,-73
117,-77,-89
-71,-207,-339
-29,-163,-415
-10,-20,-520
-190,80,-554
9,-153,-419
136,-120,-336
193,-25,-211
12,-28,-510
-165,-61,-479
-69,-29,-535
142,-20,-424
73,-57,-469
-148,-66,-480
-186,-102,-398
-151,-19,-503
121,-19,-451
-92,24,-556
-42,306,-390
-243,185,-191
-272,158,-376
-110,286,-500
-197,291,-447
-138,200,-134
-33,149,-81
-160,232,-246
-127,273,-509
-204,212,-244
-9,133,-77
16,136,-84
-178,276,-364
-115,205,-559
-178,296,-344
-85,159,-93
-213,211,-213
-167,325,-341
-122,272,-304
-191,157,-123
-250,212,-400
-125,293,-513
-267,199,-405
-299,61,-197
-214,-108,-136
-232,52,-114
-196,158,-120
-130,102,-70
-109,65,-33
-143,57,-57
-288,134,-316
-168,244,-454
-43,315,-479
-253,217,-393
-204,172,-140
-59,193,-105
-22,198,-116
13,-87,-39
-154,-198,-258
-236,-94,-384
-247,-129,-347
-296,90,-414
-216,82,-504
-285,139,-423
-313,75,-245
-222,-18,-100
-121,7,-39
-203,-87,-119
-267,67,-367
-323,-115,-427
-259,73,-377
-257,97,-151
-183,107,-85
-14,190,-106
142,32,-114
107,-165,-271
-138,-118,-452
-90,80,-462
-4,-126,-426
99,-151,-305
-26,-52,-482
-128,8,-444
-160,20,-452
-107,-9,-363
-76,-50,-482
110,-92,-384
58,-110,-414
-93,49,-525
-198,130,-494
-238,216,-422
-217,133,-461
-257,93,-549
-213,-7,-505
-188,-42,-496
-127,-137,-411
15,-135,-391
10,-76,-462
-87,17,-507
-175,93,-481
-262,152,-468
-229,-41,-587
-48,-100,-442
-17,-81,-465
-121,15,-485
-149,53,-483
-139,101,-561
-140,40,-644
-112,-8,-570
-153,21,-603
-240,-16,-626
-350,-106,-588
-191,-167,-355
-166,-118,-422
-125,-181,-283
-203,-127,-347
-201,-149,-269
-253,-91,-207
-315,113,-361
-283,127,-447
-308,78,-398
-298,122,-406
-313,11,-265
-263,-81,-349
-167,-49,-413
-115,-145,-373
-154,-150,-366
-227,-121,-309
-275,-63,-331
-299,-31,-317
-276,-68,-322
-293,-35,-319
-299,65,-261
-286,88,-194
-161,-123,-111
-22,-172,-130
20,-188,-212
-91,-101,-53
-296,10,-286
-169,-53,-435
-94,-84,-438
-6,-158,-372
40,-168,-170
-28,-202,-296
-312,-18,-304
-284,-18,-204
-283,-63,-235
-145,-207,-259
61,-187,-237
-21,-187,-157
-31,-135,-73
-41,-169,-123
-44,-206,-162
-62,-174,-108
88,42,-78
150,-84,-156
0,-216,-220
38,-202,-200
67,-173,-159
81,-101,-95
71,-7,-45
0,48,-28
-30,-12,-16
-74,-122,-54
-132,-172,-134
-184,-176,-238
-220,-122,-352
-214,-92,-390
-266,-66,-340
-141,-203,-261
-61,-159,-371
15,-121,-405
-148,-100,-424
-195,-39,-449
-85,-101,-459
-68,-190,-366
-75,-207,-267
-175,-161,-323
-194,-138,-376
-249,-89,-361
-205,-165,-261
-189,-175,-275
-211,-141,-301
-287,-53,-263
-185,5,-83
-36,-124,-52
77,-167,-159
71,-189,-219
73,61,-71
-53,147,-65
22,62,-34
-116,-120,-46
-141,151,-99
